
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    3.0800   3.3318750E+06   3.0836468E+06   3.1757208E+06
    3.0900   3.3318750E+06   3.0836468E+06   3.1757210E+06
    3.1000   3.3318748E+06   3.0836470E+06   3.1757210E+06
    3.1100   3.3318748E+06   3.0836470E+06   3.1757210E+06
    3.1200   3.3318748E+06   3.0836470E+06   3.1757212E+06
    3.1300   3.3318745E+06   3.0836470E+06   3.1757212E+06
    3.1400   3.3318745E+06   3.0836470E+06   3.1757212E+06
    3.1500   3.3318742E+06   3.0836470E+06   3.1757215E+06
    3.1600   3.3318742E+06   3.0836470E+06   3.1757215E+06
    3.1700   3.3318740E+06   3.0836470E+06   3.1757218E+06
    3.1800   3.3318740E+06   3.0836470E+06   3.1757218E+06
    3.1900   3.3318738E+06   3.0836470E+06   3.1757220E+06
    3.2000   3.3318738E+06   3.0836470E+06   3.1757220E+06
    3.2100   3.3318735E+06   3.0836470E+06   3.1757222E+06
    3.2200   3.3318735E+06   3.0836470E+06   3.1757225E+06
    3.2300   3.3318732E+06   3.0836470E+06   3.1757225E+06
    3.2400   3.3318730E+06   3.0836468E+06   3.1757228E+06
    3.2500   3.3318730E+06   3.0836468E+06   3.1757230E+06
    3.2600   3.3318728E+06   3.0836468E+06   3.1757230E+06
    3.2700   3.3318728E+06   3.0836468E+06   3.1757232E+06
    3.2800   3.3318725E+06   3.0836468E+06   3.1757232E+06
    3.2900   3.3318725E+06   3.0836468E+06   3.1757235E+06
    3.3000   3.3318722E+06   3.0836468E+06   3.1757235E+06
    3.3100   3.3318722E+06   3.0836468E+06   3.1757238E+06
    3.3200   3.3318720E+06   3.0836468E+06   3.1757238E+06
    3.3300   3.3318720E+06   3.0836468E+06   3.1757240E+06
    3.3400   3.3318718E+06   3.0836468E+06   3.1757240E+06
    3.3500   3.3318718E+06   3.0836470E+06   3.1757240E+06
    3.3600   3.3318718E+06   3.0836470E+06   3.1757240E+06
    3.3700   3.3318715E+06   3.0836470E+06   3.1757242E+06
